question,answer,random_wrong,decieving_wrong,identical_right,similar_right
how is the climate in the city?,jakarta has a hot and humid equatorial/tropical climate ,efnpptjoqfcqpjvfwvlfbvkpxkkhh,"the answer to the question ""jakarta has a hot and humid equatorial/tropical climate "" is ""A cat is a duck"".",jakarta has a hot and humid equatorial/tropical climate ,"I think the answer is ""jakarta has a hot and humid equatorial/tropical climate """
whom are guitars made and repaired by?,luthiers,tofirvhqwlruaauhlbijbai,"the answer to the question ""luthiers"" is ""A cat is a duck"".",luthiers,"I think the answer is ""luthiers"""
"was cleveland born in caldwell, new jersey to the reverend richard cleveland and anne neal?",yes,sjwpqbfzpjuipaacofgng,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
are all dialects of korean similar to each other?,yes,qkmejdhiwupwaasstmdxwyqzybb,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is there a more industrialized region in malaysia?,no,ppxdoexgcdqyhroirmjwqkuhzpnuek,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
what allows the butterfly to evade predators?,null,qyyaimjxptkfv,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
is the foot pedal framework for a piano called a lyre?,null,peiqgzwixigsfiwchfsefdi,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
is the leopard an old world mammal?,yes,bvomjwivhhrrwgtotooudsogrq,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what is the bridge used for?,the transfer of string vibrations.,spwwowwralhmqc,"the answer to the question ""the transfer of string vibrations."" is ""A cat is a duck"".",the transfer of string vibrations.,"I think the answer is ""the transfer of string vibrations."""
does this not allow retailers of taxable goods under act 546 to charge a marginal 3 % on their sales and account on same to the vat service ?,null,rlamhhqrrhbmak,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
from what type of cymbals can a expert player obtain an enormous dynamic range?,an expert player can obtain an enormous dynamic range from crash cymbals.,xqwttvsc,"the answer to the question ""an expert player can obtain an enormous dynamic range from crash cymbals."" is ""A cat is a duck"".",an expert player can obtain an enormous dynamic range from crash cymbals.,"I think the answer is ""an expert player can obtain an enormous dynamic range from crash cymbals."""
what is the name of a university (or similar institution for imparting higher education) in beijing?,tsinghua university,vjpwkdvtlnekouj,"the answer to the question ""tsinghua university"" is ""A cat is a duck"".",tsinghua university,"I think the answer is ""tsinghua university"""
how many species of penguins are there?,"penguin biodiversity varies between 17 and 20 living species, all in the subfamily spheniscinae.",kucdpbnp,"the answer to the question ""penguin biodiversity varies between 17 and 20 living species, all in the subfamily spheniscinae."" is ""A cat is a duck"".","penguin biodiversity varies between 17 and 20 living species, all in the subfamily spheniscinae.","I think the answer is ""penguin biodiversity varies between 17 and 20 living species, all in the subfamily spheniscinae."""
what completed in november?,the kunstmuseum liechtenstein,ytxmornxgzrcphem,"the answer to the question ""the kunstmuseum liechtenstein"" is ""A cat is a duck"".",the kunstmuseum liechtenstein,"I think the answer is ""the kunstmuseum liechtenstein"""
the bears sometimes what?,they sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites.,ankhskmjvarsgqxtbhjmyelb,"the answer to the question ""they sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites."" is ""A cat is a duck"".",they sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites.,"I think the answer is ""they sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites."""
when was the reunification of vietnam?,the reunification of vietnam occurred in 1975-76.,alsnvop,"the answer to the question ""the reunification of vietnam occurred in 1975-76."" is ""A cat is a duck"".",the reunification of vietnam occurred in 1975-76.,"I think the answer is ""the reunification of vietnam occurred in 1975-76."""
what butterfly is migratory?,the monarch butterfly is migratory.,ifgnhczecwmrzwcdmvqcjihwaglvr,"the answer to the question ""the monarch butterfly is migratory."" is ""A cat is a duck"".",the monarch butterfly is migratory.,"I think the answer is ""the monarch butterfly is migratory."""
how many korean speakers are there?,there are about 78 million korean speakers.,vhvlxmmcilbpuwnwf,"the answer to the question ""there are about 78 million korean speakers."" is ""A cat is a duck"".",there are about 78 million korean speakers.,"I think the answer is ""there are about 78 million korean speakers."""
what is the average life expectancy of a kangaroo?,4 to 6 years,nfcbecphmafkz,"the answer to the question ""4 to 6 years"" is ""A cat is a duck"".",4 to 6 years,"I think the answer is ""4 to 6 years"""
"in ad 39, king purnawarman established sunda pura as a new capital city for the kingdom, located at the northern coast of where?",java,eiqjqqwqabunuulrlxzo,"the answer to the question ""java"" is ""A cat is a duck"".",java,"I think the answer is ""java"""
swahili unusual?,null,ffxthsusmmgmokjzthivu,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what european countries established states in ghana?,"portugual, france, britain, netherlands",xifqbktcuytvrnk,"the answer to the question ""portugual, france, britain, netherlands"" is ""A cat is a duck"".","portugual, france, britain, netherlands","I think the answer is ""portugual, france, britain, netherlands"""
what is the national currency of liechtenstein?,swiss franc,rfcdhyg,"the answer to the question ""swiss franc"" is ""A cat is a duck"".",swiss franc,"I think the answer is ""swiss franc"""
does a  tz indicate that the preceding vowel is short?,no,kakhsdqfoaggvmpo,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
is the syntax of german different with different rules?,yes,wzsyzamporxrcflvzxxf,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is avogadro's number used to compute the results of chemical reactions?,yes,guzddbptekwlteje,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
how many counties is romania divided into?,forty-one,aymtrwcaogq,"the answer to the question ""forty-one"" is ""A cat is a duck"".",forty-one,"I think the answer is ""forty-one"""
do all ants build nests?,null,xaehfftijwbhykin,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
is the romanian economy doing well?,yes.,qzmcddnetafrenlwefljgaih,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
how tall were the tallest prehistoric penguins?,1.80 meters,sfhdznlppkepcileqxmsbflppgjulp,"the answer to the question ""1.80 meters"" is ""A cat is a duck"".",1.80 meters,"I think the answer is ""1.80 meters"""
how long have people been making instruments like violins?,since ancient times,aongiiolwa,"the answer to the question ""since ancient times"" is ""A cat is a duck"".",since ancient times,"I think the answer is ""since ancient times"""
does the charge reside on the interior of a charged conductor?,no,ateqjmkxnnn,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
what is a trumpet constructed of?,brass tubing,fmelxykyxaltuefxbigmqwryqvqlsc,"the answer to the question ""brass tubing"" is ""A cat is a duck"".",brass tubing,"I think the answer is ""brass tubing"""
would it be common for tigers to mate in january?,yes.,yjngnjsjvnshuea,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
did avogadro live in england?,no,xxkeouatz,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
when does a flute produce sound?,when a stream of air directed across a hole in the instrument creates a vibration of air at the hole,nfikxvgchw,"the answer to the question ""when a stream of air directed across a hole in the instrument creates a vibration of air at the hole"" is ""A cat is a duck"".",when a stream of air directed across a hole in the instrument creates a vibration of air at the hole,"I think the answer is ""when a stream of air directed across a hole in the instrument creates a vibration of air at the hole"""
when did james monroe die?,"july 4, 1831",wsdliivkpzvjwljyzvhvynbdzn,"the answer to the question ""july 4, 1831"" is ""A cat is a duck"".","july 4, 1831","I think the answer is ""july 4, 1831"""
what kind of piano did irving berlin play?,the transposing piano.,mplvekkebucn,"the answer to the question ""the transposing piano."" is ""A cat is a duck"".",the transposing piano.,"I think the answer is ""the transposing piano."""
how much increase in the media's contribution to gdp is the government seeking?,the government seeks to increase its gdp contribution to 3% by 2012. ,jujphfyoalivlfjaumtskzkmwv,"the answer to the question ""the government seeks to increase its gdp contribution to 3% by 2012. "" is ""A cat is a duck"".",the government seeks to increase its gdp contribution to 3% by 2012. ,"I think the answer is ""the government seeks to increase its gdp contribution to 3% by 2012. """
is there a more industrialized region in malaysia?,null,ikqoplch,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
are studies insufficient evidence for global protection?,it is arguable.,tixizrlzlkncgithgxyurzq,"the answer to the question ""it is arguable."" is ""A cat is a duck"".",it is arguable.,"I think the answer is ""it is arguable."""
what is italian language`s first name?,null,jnjmiwsmtcfcsgkqlpezfpaoudjwkz,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
is modern korean written with spaces between words?,yes.,jxtlejidobaeecehuyxz,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
why are ducklings particularly vulnerable?,their inability to fly.,hizgdip,"the answer to the question ""their inability to fly."" is ""A cat is a duck"".",their inability to fly.,"I think the answer is ""their inability to fly."""
did pascal have poor health throughout his life?,yes.,uebrdbdjkrcnfjsmpifdcrzco,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
is amedeo avogadro italian?,yes,tptasbjjcjsvzvtjgbprflymm,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
who was pascal's younger sister?,jacqueline,gdhyyygzkxfoaapxddnlsqszomljyl,"the answer to the question ""jacqueline"" is ""A cat is a duck"".",jacqueline,"I think the answer is ""jacqueline"""
the pronunciation of the phoneme / u / stands between what?,null,qfbwmicvmbdzsgqfvtuvu,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
is the leopard one of the four 'big cats'?,null,ylmoqxeuabgwwmsgzzjzfhbrnycf,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
when did he die?,1908 ,svddwycripgleurqcccmgsvee,"the answer to the question ""1908 "" is ""A cat is a duck"".",1908 ,"I think the answer is ""1908 """
what are a rumors that he remained a virgin?,null,vmhwpvhpmuagqlbpm,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
when did alessandro volta improve  and popularize the electrophorus?,1775,zwvpujf,"the answer to the question ""1775"" is ""A cat is a duck"".",1775,"I think the answer is ""1775"""
do carrion beetles eat dung?,no,ozxfzbedppsxzksafjqjisga,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
how much weight do female polar bears gain during pregnancy?,they gain double their weight.,otgicifhymnvzkmzgwpnszz,"the answer to the question ""they gain double their weight."" is ""A cat is a duck"".",they gain double their weight.,"I think the answer is ""they gain double their weight."""
"are there between 7 and 13 main regional groups of chinese , of which the most spoken , by far , is about 850 million , followed by 90 million , 70 million and 70 million ?",null,hxmsmgxgqalpaudewbint,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what are modern guitar strings constructed of?,"metal, polymers, or animal or plant product materials.",vdjghsrsfflgwcucmvyhowwks,"the answer to the question ""metal, polymers, or animal or plant product materials."" is ""A cat is a duck"".","metal, polymers, or animal or plant product materials.","I think the answer is ""metal, polymers, or animal or plant product materials."""
what do tigers' powerfully built legs and shoulders allow tigers to do?,they have the ability to pull down prey substantially heavier than themselves.,ghscsmmabcgoovewcyvvuhhhha,"the answer to the question ""they have the ability to pull down prey substantially heavier than themselves."" is ""A cat is a duck"".",they have the ability to pull down prey substantially heavier than themselves.,"I think the answer is ""they have the ability to pull down prey substantially heavier than themselves."""
what is the middle pedal called on grand pianos?,the sostenuto pedal.,lwmhvvymagwji,"the answer to the question ""the sostenuto pedal."" is ""A cat is a duck"".",the sostenuto pedal.,"I think the answer is ""the sostenuto pedal."""
what do river otters eat?,"river otters eat a variety of fish and shellfish, as well as small land mammals and birds. ",ihiaoruzuvnxc,"the answer to the question ""river otters eat a variety of fish and shellfish, as well as small land mammals and birds. "" is ""A cat is a duck"".","river otters eat a variety of fish and shellfish, as well as small land mammals and birds. ","I think the answer is ""river otters eat a variety of fish and shellfish, as well as small land mammals and birds. """
is the museum collection also the national art collection of liechtenstein ?,yes,vzzdjtubkeprt,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
"according to reader's digest, is finland best for living?",yes,errxyeazmwxspktoy,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
do lobsters feel pain?,yes.,tsrcxlh,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
what butterfly is migratory?,null,jpfxbuzwfevlk,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
when did volta retire?,1819,llfoobozzgowjfetguqhbmu,"the answer to the question ""1819"" is ""A cat is a duck"".",1819,"I think the answer is ""1819"""
does the charge reside on the interior of a charged conductor?,null,ryajennds,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
why do wolves howl?,"to pack members keep in touch, allowing them to communicate effectively in thickly forested areas or over great distances",tjhvfqmsofupbonk,"the answer to the question ""to pack members keep in touch, allowing them to communicate effectively in thickly forested areas or over great distances"" is ""A cat is a duck"".","to pack members keep in touch, allowing them to communicate effectively in thickly forested areas or over great distances","I think the answer is ""to pack members keep in touch, allowing them to communicate effectively in thickly forested areas or over great distances"""
are otters herbivores?,no,xrtmixwnxjhshwwjzlwbibwsswlypn,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
where was commodore matthew c. perry sent to open japan to western trade?,commodore matthew c. perry send to japan,pbmfsbeslrmnnfirolr,"the answer to the question ""commodore matthew c. perry send to japan"" is ""A cat is a duck"".",commodore matthew c. perry send to japan,"I think the answer is ""commodore matthew c. perry send to japan"""
do sea otters live along the pacific coast?,yes,zfwstgwcchumfgavuasejtdqsvy,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what universities are in education city?,"carnegie mellon university, georgetown university school of foreign service, texas a&m university, virginia commonwealth university, and cornell university",orkkaylfyzmevaxfuarapuxfgmtt,"the answer to the question ""carnegie mellon university, georgetown university school of foreign service, texas a&m university, virginia commonwealth university, and cornell university"" is ""A cat is a duck"".","carnegie mellon university, georgetown university school of foreign service, texas a&m university, virginia commonwealth university, and cornell university","I think the answer is ""carnegie mellon university, georgetown university school of foreign service, texas a&m university, virginia commonwealth university, and cornell university"""
was grover cleveland married in the whitehouse?,yes.,inqrmvnuf,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
"the deeper  the blue  is, is the more  predominant?",null,sxyiqbjatqbw,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
how much does a leopard weigh?,males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females. ,hvfpwqfjcotrfuahmdxexqj,"the answer to the question ""males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females. "" is ""A cat is a duck"".",males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females. ,"I think the answer is ""males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females. """
give an example of the most prominent cities in africa politically and financially. ,nairobi is now one of the most prominent cities in africa politically and financially,ntrrubnvgqurslqptz,"the answer to the question ""nairobi is now one of the most prominent cities in africa politically and financially"" is ""A cat is a duck"".",nairobi is now one of the most prominent cities in africa politically and financially,"I think the answer is ""nairobi is now one of the most prominent cities in africa politically and financially"""
is japanese language in the island?,null,qhztsmqglvfyhj,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
are hutongs disappearing?,yes,asondkhcvcgkybkyfsqyrkkco,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
why is the watt named after watt?,the watt is named after him for his contributions to the development of the steam engine.,cuviegbqdjcsmwwbxzrzelgjutlwrp,"the answer to the question ""the watt is named after him for his contributions to the development of the steam engine."" is ""A cat is a duck"".",the watt is named after him for his contributions to the development of the steam engine.,"I think the answer is ""the watt is named after him for his contributions to the development of the steam engine."""
where are there craters named becquerel?,on the moon and on mars,owclqqvzfey,"the answer to the question ""on the moon and on mars"" is ""A cat is a duck"".",on the moon and on mars,"I think the answer is ""on the moon and on mars"""
when are most of these groups mutually unintelligible?,null,ivzyojbrjenskibalp,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
where is qatar's telecommunication system centered?,doha.,wjmcmlvc,"the answer to the question ""doha."" is ""A cat is a duck"".",doha.,"I think the answer is ""doha."""
how much do elephants weight at birth?,120 kilograms,llqhmzjorwlacxbwnnxadc,"the answer to the question ""120 kilograms"" is ""A cat is a duck"".",120 kilograms,"I think the answer is ""120 kilograms"""
the sociolinguistic situation of arabic provides a prime example of what?,the linguistic phenomenon of diglossia,ynvffqybxmulylrlxrwppbesxszwhz,"the answer to the question ""the linguistic phenomenon of diglossia"" is ""A cat is a duck"".",the linguistic phenomenon of diglossia,"I think the answer is ""the linguistic phenomenon of diglossia"""
"did mitchell taylor , the nunavut government manager of wildlife research , not write a letter to the u.s. fish and wildlife service arguing that local studies are insufficient evidence for global protection at this time ?",no,vedkjyjgtujxrfssqpqgcapbeuhtaq,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
who or what vary greatly in form within the coleoptera?,antennae.,ozffpxpctwlvssbs,"the answer to the question ""antennae."" is ""A cat is a duck"".",antennae.,"I think the answer is ""antennae."""
the xylophone is an instrument from what family?,the percussion family,rekeozfjktztyxse,"the answer to the question ""the percussion family"" is ""A cat is a duck"".",the percussion family,"I think the answer is ""the percussion family"""
does liechtenstein have an army?,no.,fnkwmwzxupzqtafinxv,"the answer to the question ""no."" is ""A cat is a duck"".",no.,"I think the answer is ""no."""
did grover cleveland support women's suffrage?,no,ezitruowtkiktgulmaxpigah,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
where was henri becquerel born?,paris,eacsogpumnoagrcbivau,"the answer to the question ""paris"" is ""A cat is a duck"".",paris,"I think the answer is ""paris"""
where did swahili language die?,null,kxnnxeuk,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
can turtles spend all their time underwater?,no,tfahkvfspry,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
do penguins feed on krill?,yes,suzikzrliptakgktit,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
have consonant clusters been lost?,yes.,iopigaqxmnczurpaq,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
when did the crime level become higher?,after the october revolution.,qorqdhgwlarlxkldeqsrnuu,"the answer to the question ""after the october revolution."" is ""A cat is a duck"".",after the october revolution.,"I think the answer is ""after the october revolution."""
he is what?,null,lexkwuvacvcwnkxaadyvybzo,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what is the smallest german-speaking country in the world?,liechtenstein,qfohqldzsblbazbopdcjpqzumiadbp,"the answer to the question ""liechtenstein"" is ""A cat is a duck"".",liechtenstein,"I think the answer is ""liechtenstein"""
what countries border liechtenstein?,switzerland and austria.,truisylwgomxbsqso,"the answer to the question ""switzerland and austria."" is ""A cat is a duck"".",switzerland and austria.,"I think the answer is ""switzerland and austria."""
do nearly all qataris profess islam?,yes.,exigdrnkjzwahmhwhfpihokm,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
where was woodrow wilson born?,"staunton, virginia",ovfquhityu,"the answer to the question ""staunton, virginia"" is ""A cat is a duck"".","staunton, virginia","I think the answer is ""staunton, virginia"""
"was wilson , a staunch opponent of antisemitism , sympathetic to the plight of jews , especially in poland and in france ?",yes,bpysswfgiolccodua,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
do ants belong to the same order as bees?,null,cywiaufqincuuvlwtarcjb,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
are there also a variety of regional languages in addition?,yes,fdmdezjsrthrmuiyc,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what is antwerp?,antwerp is a city and municipality in belgium.,oognghrhgkcnoxpbglotguwkl,"the answer to the question ""antwerp is a city and municipality in belgium."" is ""A cat is a duck"".",antwerp is a city and municipality in belgium.,"I think the answer is ""antwerp is a city and municipality in belgium."""
is liechtenstein doubly landlocked?,yes,rdsjsjfoh,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
in how many directions can the adult dragonfly propel itself?,null,dytaxlagebwvlspfebhocmwc,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what do well - received and he have in common?,null,jqmmensqkwrswydkoajhagzeqgd,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what happened in 1785?,coulomb presented his three reports on electricity and magnetism,pfchlmzmkz,"the answer to the question ""coulomb presented his three reports on electricity and magnetism"" is ""A cat is a duck"".",coulomb presented his three reports on electricity and magnetism,"I think the answer is ""coulomb presented his three reports on electricity and magnetism"""
how many noun classes does swahili have?,sixteen,ganweqvizhxqbuzqgxzexrrbsv,"the answer to the question ""sixteen"" is ""A cat is a duck"".",sixteen,"I think the answer is ""sixteen"""
was faraday born in england?,yes,oplqbzctksjhudomurowomyicuhzc,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
was watt a fellow of the royal society of edinburgh and the royal society of london?,yes.,yhylpfrobwterrejuujmqnuew,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
what is ottawa's junior ice hockey team?,the ottawa 67's,izhidlhvznmucgq,"the answer to the question ""the ottawa 67's"" is ""A cat is a duck"".",the ottawa 67's,"I think the answer is ""the ottawa 67's"""
are tortoises land based?,yes.,opofbuoeseuqktadgecmuk,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
where did wilson attend law school?,university of virginia,eahkhbxigkbbbshfauoycbkf,"the answer to the question ""university of virginia"" is ""A cat is a duck"".",university of virginia,"I think the answer is ""university of virginia"""
"have most otters fish as the primary item in their diet , supplemented by frogs , crayfish and crabs ?",yes,wyzzeirttrdmqrtxgovzhupovrxq,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
when did charles-augustin de coulomb join his father's family in montpeillier?,from 1757 to 1759 he joined his father's family in montpellier.,zzuvtuqcwoimdjam,"the answer to the question ""from 1757 to 1759 he joined his father's family in montpellier."" is ""A cat is a duck"".",from 1757 to 1759 he joined his father's family in montpellier.,"I think the answer is ""from 1757 to 1759 he joined his father's family in montpellier."""
did lincoln sign the national banking act of 1863?,yes,vjpliiftjzuxbsimjgs,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is it true that each penguin gets a turn in the center?,yes,cedcrtzzuelsxwfjffajdqb,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what is the last word on the page?,connecticut,fxoxxtnjcam,"the answer to the question ""connecticut"" is ""A cat is a duck"".",connecticut,"I think the answer is ""connecticut"""
is it true that singapore has several long - standing disputes with malaysia?,yes,pfptstjxutydtwfelotusxlntwz,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
has swahili no diphthongs?,no,dkjxnnosgqb,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
what is now part of adams national historical park?,john adams' birthplace,wichmclmtyvniukuxzcas,"the answer to the question ""john adams' birthplace"" is ""A cat is a duck"".",john adams' birthplace,"I think the answer is ""john adams' birthplace"""
is uruguay's warmest month june?,no,ytckmpxvxoncaprbcfoqqhtvso,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
was it a two-sentence description that completely caught the essence of ulysses s. grant ?,yes,ioaichbgwz,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
can otters survive in cold water?,yes,ccbykqkbftgob,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
when was middle chinese used?,middle chinese was the language used in the 6th through 1-th centuries ce.,dvgtrwjyifknsfovlxruoezcgxi,"the answer to the question ""middle chinese was the language used in the 6th through 1-th centuries ce."" is ""A cat is a duck"".",middle chinese was the language used in the 6th through 1-th centuries ce.,"I think the answer is ""middle chinese was the language used in the 6th through 1-th centuries ce."""
is the giant panda a carnivore?,yes,welswei,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is the red river delta traditionally poor?,yes.,qtouiypstmbchturqxjwuh,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
is he also noted for his work for the boy scouts of america (bsa)?,yes,rcygquzkmxphxemceofxgzswk,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is the celsius  crater  on the moon named after him?,yes,itfrsidosxdwavhcul,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is a beetle's general anatomy uniform?,yes,tnfhawcngvoqjjtmpqgoymwbvbe,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
how many people speak turkish worldwide?,null,gsbpexdldskbsxecuwn,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
since when has egypt been a republic?,june 18 1953.,bxfqtugilptbvpyiheqojcj,"the answer to the question ""june 18 1953."" is ""A cat is a duck"".",june 18 1953.,"I think the answer is ""june 18 1953."""
is ghana in asia?,no,xhjwiowebmhtimczlpubfmepxlhph,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
what is the first number on the page?,28,nilungqrnhlah,"the answer to the question ""28"" is ""A cat is a duck"".",28,"I think the answer is ""28"""
how did fillmore ascend to the presidency?,official white house portrait of millard fillmorefillmore ascended to the presidency upon the sudden and unexpected death of president taylor in july 1850.,exxlvivfiyxrr,"the answer to the question ""official white house portrait of millard fillmorefillmore ascended to the presidency upon the sudden and unexpected death of president taylor in july 1850."" is ""A cat is a duck"".",official white house portrait of millard fillmorefillmore ascended to the presidency upon the sudden and unexpected death of president taylor in july 1850.,"I think the answer is ""official white house portrait of millard fillmorefillmore ascended to the presidency upon the sudden and unexpected death of president taylor in july 1850."""
how is the city's governor chosen?,election,jqpxxegzpbbagvfwibvhmmjy,"the answer to the question ""election"" is ""A cat is a duck"".",election,"I think the answer is ""election"""
is the violin a percussion instrument?,yes,xbwiwpbvpqjx,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
"i.e ""yamato words "") , which in scholarly contexts is sometimes referred to as ( or rarely , i.e ""yamato words "" -rrb- , which in scholarly contexts is sometimes referred to as -lrb- or rarely , vp ? ?",null,qdezqjtxpurolbauqmtavbsjcqzux,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what is the second biggest factor affecting the sound produced by a drum?,tension,wnniizavbwvfzz,"the answer to the question ""tension"" is ""A cat is a duck"".",tension,"I think the answer is ""tension"""
is nassau range the highest mountain range in the world?,no,ubumayhnurpmh,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
is singapore a city-state?,yes,ayhvrmpvueatayydtrgsqjg,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
has sang nila utama visited singapore?,yes,bmysfbhgsekocecwzsmjb,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what is the most densely populated independent country in the world?,null,gtthekjhhyrqtegwnsqcfzvb,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what is the mrt?,null,wbnlggkaic,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
